paper_id,source_title,source_file,original_title,crossref_title,authors,journal,year,volume,issue,pages,publisher,doi,url,type,score
ref1,csv_title,titles_matched.csv,"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions","Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",Muhammed Golec; Guneet Kaur Walia; Mohit Kumar; Felix Cuadrado; Sukhpal Singh Gill; Steve Uhlig,ACM Computing Surveys,2025,57,3,1-36,Association for Computing Machinery (ACM),10.1145/3700875,https://doi.org/10.1145/3700875,journal-article,68.28762
ref2,csv_title,titles_matched.csv,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,The Night Shift: Understanding Performance Variability of Cloud Serverless Platforms,Trever Schirmer; Nils Japke; Sofia Greten; Tobias Pfandzelter; David Bermbach,"Proceedings of the 1st Workshop on SErverless Systems, Applications and MEthodologies",2023,,,27-33,ACM,10.1145/3592533.3592808,https://doi.org/10.1145/3592533.3592808,proceedings-article,61.36368
ref4,csv_title,titles_matched.csv,"Benchmarking, Analysis, and Optimization of Serverless Function Snapshots","Benchmarking, analysis, and optimization of serverless function snapshots",Dmitrii Ustiugov; Plamen Petrov; Marios Kogias; Edouard Bugnion; Boris Grot,Proceedings of the 26th ACM International Conference on Architectural Support for Programming Languages and Operating Systems,2021,,,559-572,ACM,10.1145/3445814.3446714,https://doi.org/10.1145/3445814.3446714,proceedings-article,50.999706
ref11,bibtex_title,titles_matched.csv,SCOOP: A Scalable Object-Oriented Serverless Platform,SCOOP: A Scalable Object-Oriented Serverless Platform,Narges Shahidi; Jashwant Raj Gunasekaran; Mahmut Taylan Kandemir; Bhuvan Urgaonkar,2023 IEEE 16th International Conference on Cloud Computing (CLOUD),2023,,,1-3,IEEE,10.1109/cloud60044.2023.00069,https://doi.org/10.1109/cloud60044.2023.00069,proceedings-article,61.65824
ref14,csv_title,titles_matched.csv,TinyFaaS: A Lightweight FaaS Platform for Edge Environments,tinyFaaS: A Lightweight FaaS Platform for Edge Environments,Tobias Pfandzelter; David Bermbach,2020 IEEE International Conference on Fog Computing (ICFC),2020,,,17-24,IEEE,10.1109/icfc49376.2020.00011,https://doi.org/10.1109/icfc49376.2020.00011,proceedings-article,61.428684
ref15,bibtex_title,titles_matched.csv,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,MASTER: Machine Learning-Based Cold Start Latency Prediction Framework in Serverless Edge Computing Environments for Industry 4.0,Muhammed Golec; Sukhpal Singh Gill; Huaming Wu; Talat Cemre Can; Mustafa Golec; Oktay Cetinkaya; Felix Cuadrado; Ajith Kumar Parlikad; Steve Uhlig,IEEE Journal of Selected Areas in Sensors,2024,1,,36-48,Institute of Electrical and Electronics Engineers (IEEE),10.1109/jsas.2024.3396440,https://doi.org/10.1109/jsas.2024.3396440,journal-article,78.235466
ref18,bibtex_title,titles_matched.csv,Stateful functions as a service in action,Stateful functions as a service in action,Adil Akhter; Marios Fragkoulis; Asterios Katsifodimos,Proceedings of the VLDB Endowment,2019,12,12,1890-1893,Association for Computing Machinery (ACM),10.14778/3352063.3352092,https://doi.org/10.14778/3352063.3352092,journal-article,35.85705
ref19,csv_title,titles_matched.csv,A Fault-Tolerance Shim for Serverless Computing,A fault-tolerance shim for serverless computing,Vikram Sreekanti; Chenggang Wu; Saurav Chhatrapati; Joseph E. Gonzalez; Joseph M. Hellerstein; Jose M. Faleiro,Proceedings of the Fifteenth European Conference on Computer Systems,2020,,,1-15,ACM,10.1145/3342195.3387535,https://doi.org/10.1145/3342195.3387535,proceedings-article,52.189816
ref21,csv_title,titles_matched.csv,Valve: Securing Function Workflows on Serverless Computing Platforms,Valve: Securing Function Workflows on Serverless Computing Platforms,Pubali Datta; Prabuddha Kumar; Tristan Morris; Michael Grace; Amir Rahmati; Adam Bates,Proceedings of The Web Conference 2020,2020,,,939-950,ACM,10.1145/3366423.3380173,https://doi.org/10.1145/3366423.3380173,proceedings-article,65.13917
ref23,csv_title,titles_matched.csv,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Se-Lambda: Securing Privacy-Sensitive Serverless Applications Using SGX Enclave,Weizhong Qiang; Zezhao Dong; Hai Jin,"Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",2018,,,451-470,Springer International Publishing,10.1007/978-3-030-01701-9_25,https://doi.org/10.1007/978-3-030-01701-9_25,book-chapter,88.781944
ref25,csv_title,titles_matched.csv,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,WLEC: A Not So Cold Architecture to Mitigate Cold Start Problem in Serverless Computing,Khondokar Solaiman; Muhammad Abdullah Adnan,2020 IEEE International Conference on Cloud Engineering (IC2E),2020,,,,IEEE,10.1109/ic2e48712.2020.00022,https://doi.org/10.1109/ic2e48712.2020.00022,proceedings-article,81.14653
ref26,csv_title,titles_matched.csv,Secure Serverless Computing Using Dynamic Information Flow Control,Secure serverless computing using dynamic information flow control,Kalev Alpernas; Cormac Flanagan; Sadjad Fouladi; Leonid Ryzhyk; Mooly Sagiv; Thomas Schmitz; Keith Winstein,Proceedings of the ACM on Programming Languages,2018,2,OOPSLA,1-26,Association for Computing Machinery (ACM),10.1145/3276488,https://doi.org/10.1145/3276488,journal-article,55.876335
ref27,csv_title,titles_matched.csv,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,Workflow Integration Alleviates Identity and Access Management in Serverless Computing,Arnav Sankaran; Pubali Datta; Adam Bates,Annual Computer Security Applications Conference,2020,,,496-509,ACM,10.1145/3427228.3427665,https://doi.org/10.1145/3427228.3427665,proceedings-article,61.550495
ref29,csv_title,titles_matched.csv,QoS Aware FaaS Platform,QoS aware FaaS platform,Sheshadri K R; J Lakshmi,"2021 IEEE/ACM 21st International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",2021,,,812-819,IEEE,10.1109/ccgrid51090.2021.00099,https://doi.org/10.1109/ccgrid51090.2021.00099,proceedings-article,47.687614
ref30,csv_title,titles_matched.csv,Cocoa: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,COCOA: Cold Start Aware Capacity Planning for Function-as-a-Service Platforms,Alim Ul Gias; Giuliano Casale,"2020 28th International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunication Systems (MASCOTS)",2020,,,1-8,IEEE,10.1109/mascots50786.2020.9285966,https://doi.org/10.1109/mascots50786.2020.9285966,proceedings-article,61.756775
ref31,csv_title,titles_matched.csv,Adaptive Function Launching Acceleration in Serverless Computing Platforms,Adaptive Function Launching Acceleration in Serverless Computing Platforms,Zhengjun Xu; Haitao Zhang; Xin Geng; Qiong Wu; Huadong Ma,2019 IEEE 25th International Conference on Parallel and Distributed Systems (ICPADS),2019,,,9-16,IEEE,10.1109/icpads47876.2019.00011,https://doi.org/10.1109/icpads47876.2019.00011,proceedings-article,62.77105
ref33,bibtex_title,titles_matched.csv,ACPM: adaptive container provisioning model to mitigate serverless cold-start,ACPM: adaptive container provisioning model to mitigate serverless cold-start,Anisha Kumari; Bibhudatta Sahoo,Cluster Computing,2024,27,2,1333-1360,Springer Science and Business Media LLC,10.1007/s10586-023-04016-8,https://doi.org/10.1007/s10586-023-04016-8,journal-article,81.0579
ref34,bibtex_title,titles_matched.csv,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement in Public Cloud,Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement in Public Cloud,Jashwant Raj Gunasekaran; Prashanth Thinakaran; Mahmut Taylan Kandemir; Bhuvan Urgaonkar; George Kesidis; Chita Das,2019 IEEE 12th International Conference on Cloud Computing (CLOUD),2019,,,199-208,IEEE,10.1109/cloud.2019.00043,https://doi.org/10.1109/cloud.2019.00043,proceedings-article,84.68214
ref35,csv_title,titles_matched.csv,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,Defuse: A Dependency-Guided Function Scheduler to Mitigate Cold Starts on FaaS Platforms,Jiacheng Shen; Tianyi Yang; Yuxin Su; Yangfan Zhou; Michael R. Lyu,2021 IEEE 41st International Conference on Distributed Computing Systems (ICDCS),2021,,,194-204,IEEE,10.1109/icdcs51616.2021.00027,https://doi.org/10.1109/icdcs51616.2021.00027,proceedings-article,85.45535
ref36,csv_title,titles_matched.csv,Modeling and Optimization of Performance and Cost of Serverless Applications,Modeling and Optimization of Performance and Cost of Serverless Applications,Changyuan Lin; Hamzeh Khazaei,IEEE Transactions on Parallel and Distributed Systems,2021,32,3,615-632,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tpds.2020.3028841,https://doi.org/10.1109/tpds.2020.3028841,journal-article,39.23896
ref37,csv_title,titles_matched.csv,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement,Tarek Elgamal; Atul Sandur; Klara Nahrstedt; Gul Agha,2018 IEEE/ACM Symposium on Edge Computing (SEC),2018,,,300-312,IEEE,10.1109/sec.2018.00029,https://doi.org/10.1109/sec.2018.00029,proceedings-article,69.48111
ref38,csv_title,titles_matched.csv,"Be Wary of the Economics of ""Serverless"" Cloud Computing","Be Wary of the Economics of ""Serverless"" Cloud Computing",Adam Eivy; Joe Weinman,IEEE Cloud Computing,2017,4,2,6-12,Institute of Electrical and Electronics Engineers (IEEE),10.1109/mcc.2017.32,https://doi.org/10.1109/mcc.2017.32,journal-article,49.573605
ref39,csv_title,titles_matched.csv,Optimal Pricing for Serverless Computing,Optimal Pricing for Serverless Computing,Kunal Mahajan; Daniel Figueiredo; Vishal Misra; Dan Rubenstein,2019 IEEE Global Communications Conference (GLOBECOM),2019,,,1-6,IEEE,10.1109/globecom38437.2019.9013156,https://doi.org/10.1109/globecom38437.2019.9013156,proceedings-article,41.01846
ref41,bibtex_title,titles_matched.csv,Predicting Performance and Cost of Serverless Computing Functions with SAAF,Predicting Performance and Cost of Serverless Computing Functions with SAAF,Robert Cordingly; Wen Shu; Wes J. Lloyd,"2020 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",2020,,,640-649,IEEE,10.1109/dasc-picom-cbdcom-cyberscitech49142.2020.00111,https://doi.org/10.1109/dasc-picom-cbdcom-cyberscitech49142.2020.00111,proceedings-article,57.5059
ref44,csv_title,titles_matched.csv,Reducing Environmental Impact with Sustainable Serverless Computing,Reducing Environmental Impact with Sustainable Serverless Computing,Mohammed Akour; Mamdouh Alenezi,Sustainability,2025,17,7,2999,MDPI AG,10.3390/su17072999,https://doi.org/10.3390/su17072999,journal-article,48.60591
ref45,csv_title,titles_matched.csv,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,On the Power Consumption of Serverless Functions: An Evaluation of OpenFaaS,Abdulaziz Alhindi; Karim Djemame; Fatemeh Banaie Heravan,2022 IEEE/ACM 15th International Conference on Utility and Cloud Computing (UCC),2022,,,,IEEE,10.1109/ucc56403.2022.00064,https://doi.org/10.1109/ucc56403.2022.00064,proceedings-article,48.607906
ref46,csv_title,titles_matched.csv,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless,RAEF: Energy-efficient Resource Allocation through Energy Fungibility in Serverless,Xuechao Jia; Laiping Zhao,2021 IEEE 27th International Conference on Parallel and Distributed Systems (ICPADS),2021,,,434-441,IEEE,10.1109/icpads53394.2021.00060,https://doi.org/10.1109/icpads53394.2021.00060,proceedings-article,79.498695
ref47,csv_title,titles_matched.csv,Integrating Energy Consumption in the Development of Serverless Applications,Integrating energy consumption in the development of serverless applications,Pablo Serrano-Gutierrez; Inmaculada Ayala; Lidia Fuentes,Information and Software Technology,2025,186,,107819,Elsevier BV,10.1016/j.infsof.2025.107819,https://doi.org/10.1016/j.infsof.2025.107819,journal-article,42.46542
ref49,csv_title,titles_matched.csv,A Holistic View on Resource Management in Serverless Computing Environments: Taxonomy and Future Directions,A Holistic View on Resource Management in Serverless Computing Environments: Taxonomy and Future Directions,Anupama Mampage; Shanika Karunasekera; Rajkumar Buyya,ACM Computing Surveys,2022,54,11s,1-36,Association for Computing Machinery (ACM),10.1145/3510412,https://doi.org/10.1145/3510412,journal-article,66.23634
ref50,csv_title,titles_matched.csv,"Serverless Computing: State-of-the-Art, Challenges and Opportunities","Serverless Computing: State-of-the-Art, Challenges and Opportunities",Yongkang Li; Yanying Lin; Yang Wang; Kejiang Ye; Chengzhong Xu,IEEE Transactions on Services Computing,2023,16,2,1522-1539,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tsc.2022.3166553,https://doi.org/10.1109/tsc.2022.3166553,journal-article,45.790775
ref51,csv_title,titles_matched.csv,Scheduling Methods to Reduce Response Latency of Function as a Service,Scheduling Methods to Reduce Response Latency of Function as a Service,Pawel Zuk; Krzysztof Rzadca,2020 IEEE 32nd International Symposium on Computer Architecture and High Performance Computing (SBAC-PAD),2020,,,132-140,IEEE,10.1109/sbac-pad49847.2020.00028,https://doi.org/10.1109/sbac-pad49847.2020.00028,proceedings-article,44.550667
ref52,csv_title,titles_matched.csv,DistributedFaaS: Execution of Containerized Serverless Applications in Multi-Cloud Infrastructures,DistributedFaaS: Execution of Containerized Serverless Applications in Multi-Cloud Infrastructures,Adbys Vasconcelos; Lucas Vieira; Ítalo Batista; Rodolfo Silva; Francisco Brasileiro,Proceedings of the 9th International Conference on Cloud Computing and Services Science,2019,,,595-600,SCITEPRESS - Science and Technology Publications,10.5220/0007877005950600,https://doi.org/10.5220/0007877005950600,proceedings-article,76.8873
ref54,csv_title,titles_matched.csv,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,FunctionBench: A Suite of Workloads for Serverless Cloud Function Service,Jeongchul Kim; Kyungyong Lee,2019 IEEE 12th International Conference on Cloud Computing (CLOUD),2019,,,,IEEE,10.1109/cloud.2019.00091,https://doi.org/10.1109/cloud.2019.00091,proceedings-article,66.19522
ref56,csv_title,titles_matched.csv,"Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning","Resource Management for Cloud Functions with Memory Tracing, Profiling and Autotuning",Josef Spillner,Proceedings of the 2020 Sixth International Workshop on Serverless Computing,2020,,,13-18,ACM,10.1145/3429880.3430094,https://doi.org/10.1145/3429880.3430094,proceedings-article,58.34214
ref57,csv_title,titles_matched.csv,EMARS: Efficient Management and Allocation of Resources in Serverless,EMARS: Efficient Management and Allocation of Resources in Serverless,Aakanksha Saha; Sonika Jindal,2018 IEEE 11th International Conference on Cloud Computing (CLOUD),2018,,,,IEEE,10.1109/cloud.2018.00113,https://doi.org/10.1109/cloud.2018.00113,proceedings-article,54.385677
ref58,bibtex_title,titles_matched.csv,Skedulix: Hybrid Cloud Scheduling for Cost-Efficient Execution of Serverless Applications,Skedulix: Hybrid Cloud Scheduling for Cost-Efficient Execution of Serverless Applications,Anirban Das; Andrew Leaf; Carlos A. Varela; Stacy Patterson,2020 IEEE 13th International Conference on Cloud Computing (CLOUD),2020,,,609-618,IEEE,10.1109/cloud49709.2020.00090,https://doi.org/10.1109/cloud49709.2020.00090,proceedings-article,71.3314
ref60,bibtex_title,titles_matched.csv,AuctionWhisk: Using an auction‐inspired approach for function placement in serverless fog platforms,AuctionWhisk: Using an auction‐inspired approach for function placement in serverless fog platforms,David Bermbach; Jonathan Bader; Jonathan Hasenburg; Tobias Pfandzelter; Lauritz Thamsen,Software: Practice and Experience,2022,52,5,1143-1169,Wiley,10.1002/spe.3058,https://doi.org/10.1002/spe.3058,journal-article,77.34711
ref61,csv_title,titles_matched.csv,Comparison of FaaS Platform Performance in Private Clouds,Comparison of FaaS Platform Performance in Private Clouds,Marcelo Motta; Leonardo Reboucas De Carvalho; Michel Rosa; Aleteia Favacho De Araujo,Proceedings of the 12th International Conference on Cloud Computing and Services Science,2022,,,109-120,SCITEPRESS - Science and Technology Publications,10.5220/0011116700003200,https://doi.org/10.5220/0011116700003200,proceedings-article,49.57235
ref62,csv_title,titles_matched.csv,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,ElastiBench: Scalable Continuous Benchmarking on Cloud FaaS Platforms,Trever Schirmer; Tobias Pfandzelter; David Bermbach,2024 IEEE International Conference on Cloud Engineering (IC2E),2024,,,83-92,IEEE,10.1109/ic2e61754.2024.00016,https://doi.org/10.1109/ic2e61754.2024.00016,proceedings-article,73.310905
ref64,csv_title,titles_matched.csv,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,RL-Based Approach to Enhance Reliability and Efficiency in Autoscaling for Heterogeneous Edge Serverless Computing Environments,Ilyas Hadjou; Young-Woo Kwon,2024 IEEE 29th Pacific Rim International Symposium on Dependable Computing (PRDC),2024,,,163-172,IEEE,10.1109/prdc63035.2024.00046,https://doi.org/10.1109/prdc63035.2024.00046,proceedings-article,76.83865
ref65,csv_title,titles_matched.csv,Optimizing Cold Start Performance in Serverless Computing Environments,Optimizing Cold Start Performance in Serverless Computing Environments,Daniel-George Malancioiu; Harold-Nimrod Foldvari; Florin Craciun,2024 26th International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),2024,,,140-148,IEEE,10.1109/synasc65383.2024.00035,https://doi.org/10.1109/synasc65383.2024.00035,proceedings-article,58.010044
ref66,csv_title,titles_matched.csv,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,A Low-Latency Edge-Cloud Serverless Computing Framework with a Multi-Armed Bandit Scheduler,Justin Chigu; Ahmed El-Mahdy; Bassem Mokhtar; Maha Elsabrouty,2024 International Wireless Communications and Mobile Computing (IWCMC),2024,,,1655-1660,IEEE,10.1109/iwcmc61514.2024.10592558,https://doi.org/10.1109/iwcmc61514.2024.10592558,proceedings-article,79.33093
ref67,csv_title,titles_matched.csv,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,FUYAO: DPU-enabled Direct Data Transfer for Serverless Computing,Guowei Liu; Laiping Zhao; Yiming Li; Zhaolin Duan; Sheng Chen; Yitao Hu; Zhiyuan Su; Wenyu Qu,"Proceedings of the 29th ACM International Conference on Architectural Support for Programming Languages and Operating Systems, Volume 3",2024,,,431-447,ACM,10.1145/3620666.3651327,https://doi.org/10.1145/3620666.3651327,proceedings-article,76.58834
ref68,csv_title,titles_matched.csv,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,Tackling Cold Start in Serverless Computing with Multi-Level Container Reuse,Amelie Chi Zhou; Rongzheng Huang; Zhoubin Ke; Yusen Li; Yi Wang; Rui Mao,2024 IEEE International Parallel and Distributed Processing Symposium (IPDPS),2024,,,,IEEE,10.1109/ipdps57955.2024.00017,https://doi.org/10.1109/ipdps57955.2024.00017,proceedings-article,70.99352
ref69,csv_title,titles_matched.csv,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,FIAless: Asynchronous Programming for Large-Scale Burst Requests in Serverless Computing,Chenyang Guan; Junjie Yin; Xiaofeng Wang,2024 IEEE International Conference on High Performance Computing and Communications (HPCC),2024,,,442-449,IEEE,10.1109/hpcc64274.2024.00066,https://doi.org/10.1109/hpcc64274.2024.00066,proceedings-article,78.95053
ref70,csv_title,titles_matched.csv,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,KneeScale: Efficient Resource Scaling for Serverless Computing at the Edge,Xue Li; Peng Kang; Jordan Molone; Wei Wang; Palden Lama,"2022 22nd IEEE International Symposium on Cluster, Cloud and Internet Computing (CCGrid)",2022,,,180-189,IEEE,10.1109/ccgrid54584.2022.00027,https://doi.org/10.1109/ccgrid54584.2022.00027,proceedings-article,61.791996
ref71,csv_title,titles_matched.csv,Towards Quality of Experience Fairness for Serverless Functions,Towards Quality of Experience Fairness for Serverless Functions,Xue Li; Palden Lama; Tania Lorido-Botran; Wei Wang,2024 IEEE Cloud Summit,2024,,,61-66,IEEE,10.1109/cloud-summit61220.2024.00017,https://doi.org/10.1109/cloud-summit61220.2024.00017,proceedings-article,48.536804
ref72,csv_title,titles_matched.csv,Enabling HPC Scientific Workflows for Serverless,Enabling HPC Scientific Workflows for Serverless,Anderson Andrei Da Silva; Rolando Pablo Hong Enriquez; Gourav Rattihalli; Vijay Thurimella; Rafael Ferreira Da Silva; Dejan Milojicic,"SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis",2024,,,110-125,IEEE,10.1109/scw63240.2024.00022,https://doi.org/10.1109/scw63240.2024.00022,proceedings-article,56.962547
ref73,csv_title,titles_matched.csv,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,Optimizing Resource Management in Serverless Computing: A Dynamic Adaptive Scaling Approach,Tanaya Biswas; Prashant Kumar,2024 15th International Conference on Computing Communication and Networking Technologies (ICCCNT),2024,,,1-7,IEEE,10.1109/icccnt61001.2024.10724128,https://doi.org/10.1109/icccnt61001.2024.10724128,proceedings-article,60.373314
ref74,csv_title,titles_matched.csv,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,ATOM: AI-Powered Sustainable Resource Management for Serverless Edge Computing Environments,Muhammed Golec; Sukhpal Singh Gill; Felix Cuadrado; Ajith Kumar Parlikad; Minxian Xu; Huaming Wu; Steve Uhlig,IEEE Transactions on Sustainable Computing,2024,9,6,817-829,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tsusc.2023.3348157,https://doi.org/10.1109/tsusc.2023.3348157,journal-article,71.44648
ref75,csv_title,titles_matched.csv,"Resource Management in Serverless Computing - Review, Research Challenges, and Prospects","Resource Management in Serverless Computing - Review, Research Challenges, and Prospects",Kannan Govindarajan; Andrè De Tienne,2023 12th International Conference on Advanced Computing (ICoAC),2023,,,1-5,IEEE,10.1109/icoac59537.2023.10249574,https://doi.org/10.1109/icoac59537.2023.10249574,proceedings-article,52.89731
ref76,csv_title,titles_matched.csv,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,Joint Resource Management and Pricing for Task Offloading in Serverless Edge Computing,Feridun Tütüncüoğlu; György Dán,IEEE Transactions on Mobile Computing,2024,23,6,7438-7452,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tmc.2023.3334914,https://doi.org/10.1109/tmc.2023.3334914,journal-article,64.419586
ref77,csv_title,titles_matched.csv,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,Serverless Edge Computing Framework for Efficient Offloading Method with Time Frame Based Priority Resource Management,Srinithya Kandukuri; Dedeepya Gayam; Sai Divya Bommisetty; Revathi Bobba; Bala Annapurna,2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),2024,,,703-710,IEEE,10.1109/icscss60660.2024.10625440,https://doi.org/10.1109/icscss60660.2024.10625440,proceedings-article,75.23571
